Country,HDI,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI_Per_Capita
Country,Value,(years),(years),(years),(2021 PPP $)
Malaysia,0.819,76.657,12.67639256,11.09000015,32553.09108
North Macedonia,0.815,77.395,14.78143978,10.22999954,22128.39461
Armenia,0.811,75.683,14.3838501,11.34497821,20220.72319
Barbados,0.811,76.178,16.6280018,9.92835689,17327.52047
Albania,0.81,79.602,14.51014996,10.17531099,17627.39404
Trinidad and Tobago,0.807,73.49,14.23764336,10.79275036,27000.14511
Mauritius,0.806,74.926,14.16282114,10.10332754,27279.96011
Bosnia and Herzegovina,0.804,77.85,13.16394043,10.97000027,19827.48588
Iran (Islamic Republic of),0.799,77.654,13.96833061,10.84671198,16095.77169
Saint Vincent and the Grenadines,0.798,71.23,16.2530213,11.29534968,17246.63609
Thailand,0.798,76.412,15.35883492,9.039999962,20569.90176
China,0.797,77.953,15.4787495,8.036181597,22029.22253
Peru,0.794,77.74,14.90939376,10.15465159,14338.70977
Grenada,0.791,75.205,16.57728919,9.446399307,14349.02804
Azerbaijan,0.789,74.429,12.90977955,11.06999969,20667.95729
Mexico,0.789,75.069,14.46811008,9.349510934,21812.65566
Colombia,0.788,77.725,14.28641033,9.031581597,18665.94967
Brazil,0.786,75.848,15.7927103,8.425371752,18011.28546
Palau,0.786,69.269,14.06742382,13.29903477,16034.51036
Moldova (Republic of),0.785,71.198,14.63856847,11.82999992,15866.54207
Ukraine,0.779,73.422,13.32800961,11.12273899,16933.14453
Ecuador,0.777,77.392,14.85167027,8.970000267,13986.39698
Dominican Republic,0.776,73.72,13.61692047,9.444525756,22023.51059
Guyana,0.776,70.18,13.02205765,8.702429672,46959.25173
Sri Lanka,0.776,77.483,13.12815666,10.77000046,12615.60045
Tonga,0.769,72.895,17.78693018,10.91494895,7438.210092
Maldives,0.766,81.041,12.76840687,7.410372866,19317.31882
Viet Nam,0.766,74.588,15.45771503,8.979999542,13032.63533
Turkmenistan,0.764,70.073,13.24057961,11.20780193,17715.58167
Algeria,0.763,76.261,15.4951601,7.416386987,15114.17175
Cuba,0.762,78.085,13.87884045,10.63148903,8415.411708
Dominica,0.761,71.132,14.15099967,10.12508965,16001.12551
Paraguay,0.756,73.844,13.98706964,8.930653385,15252.22016
Egypt,0.754,71.633,13.12716193,10.13611962,16218.13521
Jordan,0.754,77.814,13.1090498,10.23999977,9221.872358
Lebanon,0.752,77.817,11.68299961,10.36999989,11298.88724
Saint Lucia,0.748,72.697,12.73040962,8.614167055,20899.78193
Mongolia,0.747,71.734,13.6376543,9.420000076,14787.08237
Tunisia,0.746,76.508,14.67349856,7.594920158,12011.38785
South Africa,0.741,66.139,13.79325008,11.60999966,13693.98858
Uzbekistan,0.74,72.388,12.46086979,11.90999985,8825.730893
Bolivia (Plurinational State of),0.733,68.581,15.61065006,10.02122319,9445.244868
Gabon,0.733,68.337,12.48275889,9.686,18854.06151
Marshall Islands,0.733,66.945,16.38606071,11.6366644,7223.860831
Botswana,0.731,69.163,11.42568016,10.478,16983.77103
Fiji,0.731,67.316,13.84869,10.37096977,12843.15889
Indonesia,0.728,71.146,13.33577728,8.6972232,13700.12989
Suriname,0.722,73.631,10.95909977,8.429759582,17344.38691
Belize,0.721,73.566,11.98379993,8.762290001,12343.07814
Libya,0.721,69.339,12.92465677,7.77860643,19831.43236
Jamaica,0.72,71.479,12.3833955,9.959910393,10056.98531
Kyrgyzstan,0.72,71.677,12.71388245,12.06588858,6078.117589
Philippines,0.72,69.833,12.81904666,9.977239609,10731.20422
Morocco,0.71,75.313,15.07499027,6.198,8652.880859
Venezuela (Bolivarian Republic of),0.709,72.514,12.96537654,9.678385373,7157.08
Samoa,0.708,71.698,12.4364,11.33298361,5952.016925
Nicaragua,0.706,74.947,11.51021957,9.933019638,6881.479609
Nauru,0.703,62.109,12.84263763,9.448637676,19642.3777
Bhutan,0.698,72.975,13.15274184,5.835794662,13842.80353
Eswatini (Kingdom of),0.695,64.123,15.24604391,8.685199738,9919.08523
